校下・地区,センター,可燃ごみ,ペットボトル及びプラスチック製容器包装,空き缶・空きびん
清滝中町,エコ・クリーンセンター,月 木,火,金1 金3
清滝新町,エコ・クリーンセンター,月 木,火,金1 金3
大字岡山,エコ・クリーンセンター,月 木,火,金1 金3
岡山東一丁目,エコ・クリーンセンター,月 木,火,金1 金3
米崎町,エコ・クリーンセンター,月 木,火,金1 金3
楠公一丁目,エコ・クリーンセンター,月 木,火,金1 金3
中野新町,エコ・クリーンセンター,月 木,火,金1 金3
雁屋北町,エコ・クリーンセンター,月 木,金,水1 水3
雁屋南町,エコ・クリーンセンター,月 木,金,水1 水3
大字中野（西中野）,エコ・クリーンセンター,月 木,金,水1 水3
大字蔀屋,エコ・クリーンセンター,月 木,金,水1 水3
蔀屋新町,エコ・クリーンセンター,月 木,金,水1 水3
雁屋西町,エコ・クリーンセンター,月 木,金,水2 水4
二丁通町,エコ・クリーンセンター,月 木,金,水2 水4
岡山東五丁目,エコ・クリーンセンター,月 木,金,土1 土3
中野本町,エコ・クリーンセンター,火 金,月,,水1 水3
岡山一丁目,エコ・クリーンセンター,火 金,月,水1 水3
塚脇町,エコ・クリーンセンター,火 金,水,月1 月3
中野一丁目,エコ・クリーンセンター,火 金,水,月1 月3
中野二丁目,エコ・クリーンセンター,火 金,水,月1 月3
大字南野,エコ・クリーンセンター,火 金,水,木1 木3
南野三丁目,エコ・クリーンセンター,火 金,水,木1 木3
南野四丁目,エコ・クリーンセンター,火 金,水,木1 木3
南野五丁目,エコ・クリーンセンター,火 金,水,木1 木3
南野六丁目,エコ・クリーンセンター,火 金,水,木1 木3
大字逢坂,エコ・クリーンセンター,火 金,水,木1 木3
大字清瀧,エコ・クリーンセンター,火 金,水,木1 木3
大字中野（東中野）,エコ・クリーンセンター,火 金,水,木1 木3
中野三丁目,エコ・クリーンセンター,火 金,水,木1 木3
大字上田原,エコ・クリーンセンター,火 金,木,月1 月3
大字下田原,エコ・クリーンセンター,火 金,木,月1 月3
北出町,エコ・クリーンセンター,火 金,木,土1 土3
蔀屋本町,エコ・クリーンセンター,火 金,木,土1 土3
江瀬美町,エコ・クリーンセンター,火 金,木,土2 土4
美田町,エコ・クリーンセンター,火 金,木,土2 土4
田原台一丁目,エコ・クリーンセンター,水 土,月,火1 火3
田原台二丁目,エコ・クリーンセンター,水 土,月,火1 火3
田原台三丁目,エコ・クリーンセンター,水 土,月,火1 火3
田原台四丁目,エコ・クリーンセンター,水 土,月,火1 火3
田原台五丁目,エコ・クリーンセンター,水 土,月,火1 火3
田原台六丁目,エコ・クリーンセンター,水 土,月,火2 火4
田原台七丁目,エコ・クリーンセンター,水 土,月,火2 火4
田原台八丁目,エコ・クリーンセンター,水 土,月,火2 火4
田原台九丁目,エコ・クリーンセンター,水 土,月,火2 火4
さつきヶ丘,エコ・クリーンセンター,水 土,月,火2 火4
緑風台,エコ・クリーンセンター,水 土,月,火2 火4
砂一丁目,エコ・クリーンセンター,水 土,月,金1 金3
砂二丁目,エコ・クリーンセンター,水 土,月,火1 火3
砂三丁目,エコ・クリーンセンター,水 土,月,火1 火3
砂四丁目,エコ・クリーンセンター,水 土,月,火1 火3
楠公二丁目,エコ・クリーンセンター,水 土,月,火1 火3
岡山二丁目,エコ・クリーンセンター,水 土,木,火1 火3
岡山三丁目,エコ・クリーンセンター,水 土,木,火1 火3
岡山四丁目,エコ・クリーンセンター,水 土,木,火1 火3
岡山五丁目,エコ・クリーンセンター,水 土,木,火1 火3
南野一丁目,エコ・クリーンセンター,水 土,木,火1 火3
南野二丁目,エコ・クリーンセンター,水 土,木,火1 火3
岡山東二丁目,エコ・クリーンセンター,水 土,金,火1 火3
岡山東三丁目,エコ・クリーンセンター,水 土,金,火1 火3
岡山東四丁目,エコ・クリーンセンター,水 土,金,火1 火3
